smiles,freesolv
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
CC(C)C=O,-2.86
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
CCCCc1ccccc1,-0.4
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
COC(=O)c1ccccc1,-3.92
CCCCCCCCl,0.29
c1ccc(cc1)CO,-6.62
c1ccc(c(c1)[N+](=O)[O-])O,-4.58
COS(=O)(=O)OC,-5.1
CCOCCOC(=O)C,-5.31
CCc1cccc2c1cccc2,-2.4
C(CCl)Cl,-1.79
CCCCCO,-4.57
CCCNCCC,-3.65
CC(C)COC=O,-2.22
c1cc(ccc1Cl)Cl,-1.01
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
CCCCOC(=O)c1ccc(cc1)O,-8.72
CCCC(C)(C)C,2.88
CC(C)CBr,-0.03
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
CC(C)(C)c1ccccc1,-0.44
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
CC(=O)N1CCCC1,-9.8
C1CCCC1,1.2
CC(=O)c1ccccc1,-4.58
Cc1cccc(n1)C,-4.59
CCOC(=O)c1ccc(cc1)O,-9.2
CC(C)CC(C)(C)C,2.89
COc1ccc(cc1)C(=O)OC,-5.33
CN,-4.55
CCCC,2.1
CCCC1CCCC1,2.13
CC(OC(=O)C)OC(=O)C,-4.97
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
c1cc(cc(c1)Cl)N,-5.82
c1ccc2cc3ccccc3cc2c1,-3.95
CC(C)CCOC=O,-2.13
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95
CCCCCCCI,0.27
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
CCCOCCC,-1.16
c1ccc(cc1)C=O,-4.02
CCCC(=O)C,-3.52
Cc1ccccc1O,-5.9
CCCCCCCCC,3.13
CCCCCCOC(=O)C,-2.26
C1CCCCC1,1.23
CC(C)CO[N+](=O)[O-],-1.88
CC(=C)c1ccccc1,-1.24
CCCCOC(=O)C,-2.64
CCC#C,-0.16
CC(C)C,2.3
CSC,-1.61
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
Cc1ccc(nc1)C,-4.72
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
CC#N,-3.88
c1cc(cnc1)C=O,-7.1
COC(CC#N)(OC)OC,-6.4
CCCCCCCN,-3.79
Cc1ccccc1C=O,-3.93
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
c1cc(ccc1O)F,-6.19
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
CCOP(=S)(OCC)SCSCC,-4.37
CCCCOCCO,-6.25
CC(C)Cc1ccccc1,0.16
CCC(=O)OC,-2.93
CC(C)(/C=N\OC(=O)NC)SC,-9.84
COc1cccc(c1O)OC,-6.96
CC(C)c1ccccc1,-0.3
CCCCOC[C@H](C)O,-5.73
CC=O,-3.5
C1CCC(=O)CC1,-4.91
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
CCN(CC)CC,-3.22
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
c1ccc-2c(c1)Cc3c2cccc3,-3.35
c1cc(ccc1C=O)O,-8.83
C=CCO,-5.03
CCCCCC=C,1.66
Cc1cccc(c1)O,-5.49
CCCl,-0.63
Cc1cccc(c1O)C,-5.26
C(C(Cl)(Cl)Cl)Cl,-1.43
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
c1ccc2c(c1)cccn2,-5.72
CCc1cccnc1,-4.59
CC(C)O,-4.74
CC(=O)C,-3.8
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
CS,-1.2
CCCCO,-4.72
CC(C)COC(=O)C,-2.36
C(Br)(Br)Br,-2.13
COc1ccc(cc1)N,-7.48
c1cc[nH]c1,-4.78
CC(=O)C(C)(C)C,-3.11
CCCCC#C,0.29
CCCCCCO,-4.4
CCCCCBr,-0.1
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0
CCCCC(=O)OC,-2.56
CC(Cl)Cl,-0.84
CN(C)C=O,-7.81
COC(CCl)(OC)OC,-4.59
Cc1ccc(cc1)C,-0.8
CCCCC(=O)OCC,-2.49
CC(C)[N+](=O)[O-],-3.13
CCCCCCCC,2.88
CCCCCCI,0.08
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
CCCC(=C)C,1.47
c1ccc(cc1)Oc2ccccc2,-2.87
CC(=CCC/C(=C\CO)/C)C,-4.78
CCCC(=O)O,-6.35
CC[C@H](C(C)C)O,-3.88
c1ccc2cc(ccc2c1)O,-8.11
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
c1ccc(cc1)O,-6.6
[C@@H](C(F)(F)F)(F)Br,0.5
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
COCCOC,-4.84
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
Cc1cccc(c1)C,-0.83
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
CCC(=O)CC,-3.41
CCCO,-4.85
c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62
CN1CCCCC1,-3.88
CC(C)SC(C)C,-1.21
CCCCCCCBr,0.34
CCNCC,-4.07
c1cc(c(cc1Cl)Cl)Cl,-1.12
c1cc(ccc1Br)Br,-2.3
CCCCCCCCO,-4.09
CN(C)c1ccccc1,-3.45
C1CCNCC1,-5.11
c1cc(ccc1O)Br,-5.85
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
CC=C(C)C,1.31
CC(C)Cc1cnccn1,-5.04
Cc1cc(c2ccccc2c1)C,-2.47
C,2.0
c1ccc(cc1)Cl,-1.12
C(C(Cl)Cl)(Cl)Cl,-2.37
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
CCCCCCCCN,-3.65
CC(=C)C,1.16
CCCc1ccc(c(c1)OC)O,-5.26
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
Cc1cc2ccccc2cc1C,-2.78
c1ccc(cc1)C#N,-4.1
CCc1ccccc1,-0.79
Cc1ccccn1,-4.63
CC[C@@H](C)CO,-4.42
CCCCCCCCBr,0.52
CC(F)F,-0.11
CCCCCCCCCCO,-3.64
CCCOC(=O)C,-2.79
CC(C)C=C,1.83
CCOCCO,-6.69
CCOC(=O)CC(=O)OCC,-6.0
c1ccc(c(c1)N)[N+](=O)[O-],-7.37
c1cc(c(c(c1)Cl)Cl)Cl,-1.24
c1ccc(cc1)S,-2.55
C(=C(Cl)Cl)(Cl)Cl,0.1
Cc1ccccc1,-0.9
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
CC(=O)c1ccc(cc1)OC,-4.4
CCOCCOCC,-3.54
CC[C@H](C)O,-4.62
COCC(OC)(OC)OC,-5.73
c1cnccc1C#N,-6.02
Cc1ccc(cc1)C(C)C,-0.68
CCCC/C=C/C,1.68
COC=O,-2.78
c1ccc(cc1)c2ccccc2,-2.7
CC(=C)C=C,0.68
CCOCC,-1.59
CCCc1ccc(cc1)O,-5.21
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
Cc1ccccc1[N+](=O)[O-],-3.58
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
C=CCl,-0.59
C(=C(Cl)Cl)Cl,-0.44
c1ccc(cc1)CCl,-1.93
c1cc(cc(c1)O)C#N,-9.65
c1cc(ccc1N)Cl,-5.9
CCc1ccc(cc1)C,-0.95
CN(CC(F)(F)F)c1ccccc1,-1.92
C(F)(F)Cl,-0.5
CCC(C)(C)C,2.51
CCC(C)(C)CC,2.56
C(CBr)Cl,-1.95
COCCO,-6.619999999999999
COCOC,-2.93
Cc1cccc(c1C)C,-1.21
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
CN(C)C(=O)Nc1ccccc1,-9.13
Cc1ccc(cc1C)O,-6.5
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
c1ccc2c(c1)C(=O)NC2=O,-9.61
CCC(C)(C)O,-4.43
CC(C)CO,-4.5
c1ccc2c(c1)Cc3ccccc3C2,-3.78
c1c(cc(cc1Cl)Cl)Cl,-0.78
Cc1ccnc(c1)C,-4.86
CNC(=O)Oc1cccc2c1cccc2,-9.45
CC1CCC(CC1)C,2.11
CCOC(OCC)Oc1ccccc1,-5.23
COP(=O)(OC)OC,-8.7
CC(C)OC,-2.01
CCCOC(=O)CC,-2.44
C(CCl)CCl,-1.89
CC(C)(C)OC,-2.21
Cc1c[nH]cn1,-10.27
CCCC(=O)CCC,-2.92
COCCN,-6.55
CCCCCC(=O)O,-6.21
CCCC#N,-3.64
C=CCCl,-0.57
C(=C(F)F)(C(F)(F)F)F,2.93
CCc1ccccc1C,-0.85
C1CCC(C1)O,-5.49
CC(C)NC(C)C,-3.22
CC=C,1.32
c1ccc(c(c1)O)I,-6.2
Cc1ccncc1,-4.93
CCCCC=C,1.58
CC(C)CC(=O)O,-6.09
C(C(Cl)Cl)Cl,-1.99
C=C(Cl)Cl,0.25
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
Cc1ccc(cc1)O,-6.13
C[C@H]1CCCO1,-3.3
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
Cc1ccc(cc1)C(=O)N(C)C,-9.76
c1ccc(cc1)C(=O)N,-11.0
CCBr,-0.74
C1CC1,0.75
CC(=O)O,-6.69
CCCCC(=O)CCCC,-2.64
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29
COc1ccccc1,-2.45
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
c1ccc2c(c1)Oc3ccccc3O2,-3.15
CCSCC,-1.46
c1ccc(cc1)N,-5.49
C(I)I,-2.49
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
CCOc1ccccc1,-2.22
N,-4.29
CCCCCCN,-3.95
CC(C)(C)O,-4.47
CCCCCCl,-0.1
CBr,-0.82
CCCCCCCCC=O,-2.07
CCCCC(C)C,2.93
CCC#N,-3.84
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
C(CCl)OCCCl,-4.23
CCCOC,-1.66
CCCC(C)C,2.51
CCN,-4.5
CCCCCOC(=O)CC,-2.11
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
COC(c1ccccc1)(OC)OC,-4.04
C(=C/Cl)\Cl,-0.78
C1COCCO1,-5.06
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
CC(=O)N,-9.71
C1CNC1,-5.56
CCNc1nc(nc(n1)SC)NC(C)C,-7.65
c1cc(cc(c1)Cl)O,-6.62
CCCCCCCCCO,-3.88
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
CS(=O)(=O)C,-10.08
c1cc(cnc1)C#N,-6.75
CCCCO[N+](=O)[O-],-2.09
CCCCCC1CCCC1,2.55
CC[C@H](C)Cl,0.0
COS(=O)(=O)C,-4.87
C[C@@H](C(F)(F)F)O,-4.16
C=CC=C,0.56
CCCCl,-0.33
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
CC(=O)OC,-3.13
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
CCOC(=O)C,-2.94
CC(=O)c1ccncc1,-7.62
CCCI,-0.53
CCC(C)CC,2.51
CSSC,-1.83
COC(=O)C1CCCCC1,-3.3
CCCCC,2.3
CC(C)(C)C(=O)OC,-2.4
CCCCCCCC(=O)OC,-2.04
Cc1ccc(cc1)Br,-1.39
C=CCCC=C,1.01
Cc1cccnc1,-4.77
CCc1cccc(c1)O,-6.25
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
CCCCCCCCC(=O)C,-2.34
Cc1ccncc1C,-5.22
C[C@H]1CC[C@@H](O1)C,-2.92
CCCCCC(=O)C,-3.04
C(CO[N+](=O)[O-])O,-8.18
Cc1ccc(cc1)C=O,-4.27
Cc1ccc(c(c1)O)C,-5.91
C1=CC(=O)C=CC1=O,-6.5
c1ccc(cc1)I,-1.74
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
Cc1cccc(c1C)O,-6.16
COc1ccccc1N,-6.12
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
CI,-0.89
CN1CCN(CC1)C,-7.58
CC(C)Br,-0.48
COC(C(Cl)Cl)(F)F,-1.12
CC(C)COC(=O)C(C)C,-1.69
c1cc2cccc3c2c(c1)CC3,-3.15
CC(C)Cl,-0.25
CCCC(C)(C)O,-3.92
CCCN,-4.39
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
CCCCC(=O)C,-3.28
CCC[C@@H](C)O,-4.39
CC,1.83
CCCCCl,-0.16
CCCCCCCC=O,-2.29
CS(=O)(=O)Cl,-4.87
CCCCC#N,-3.52
c1cc(cnc1)Cl,-4.01
Cc1ccccc1C,-0.9
CCCCCCC=O,-2.67
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
CF,-0.22
CCc1ccccn1,-4.33
CN1CCNCC1,-7.77
CC(=O)CO[N+](=O)[O-],-5.99
c1ccc(cc1)Br,-1.46
CN(C)C(=O)c1ccc(cc1)OC,-11.01
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
Cc1cccc(c1N)C,-5.21
CC(C)CCO,-4.42
CCC,2.0
C=CCC=C,0.93
c1ccnc(c1)Cl,-4.39
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CCOC,-2.1
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
CCCCCN,-4.09
CCCOCCO,-6.4
