,smiles,freesolv,processed_smiles
34,CCNCC,-4.07,C C N C C
35,CC(C)(C)c1ccc(cc1)O,-5.91,C C ( C ) ( C ) c 1 c c c ( c c 1 ) O
36,CC(C)CCOC=O,-2.13,C C ( C ) C C O C = O
37,CCCCCCCCCCO,-3.64,C C C C C C C C C C O
38,CCC(=O)OCC,-2.68,C C C ( = O ) O C C
39,CCCCCCCCC,3.13,C C C C C C C C C
40,CC(=O)NC,-10.0,C C ( = O ) N C
41,CCCCCCCC=C,2.06,C C C C C C C C = C
42,c1ccc2cc(ccc2c1)O,-8.11,c 1 c c c 2 c c ( c c c 2 c 1 ) O
43,c1cc(c(cc1Cl)Cl)Cl,-1.12,c 1 c c ( c ( c c 1 Cl ) Cl ) Cl
44,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,C ( [ C @ H ] ( [ C @ H ] ( [ C @ @ H ] ( [ C @ @ H ] ( C O ) O ) O ) O ) O ) O
45,CCCC(=O)OC,-2.83,C C C C ( = O ) O C
46,c1ccc(c(c1)C=O)O,-4.68,c 1 c c c ( c ( c 1 ) C = O ) O
47,C1CNC1,-5.56,C 1 C N C 1
48,CCCNCCC,-3.65,C C C N C C C
49,c1ccc(cc1)N,-5.49,c 1 c c c ( c c 1 ) N
50,C(F)(F)(F)F,3.12,C ( F ) ( F ) ( F ) F
51,CC[C@@H](C)CO,-4.42,C C [ C @ @ H ] ( C ) C O
52,c1ccc(c(c1)O)I,-6.2,c 1 c c c ( c ( c 1 ) O ) I
53,COc1cccc(c1O)OC,-6.96,C O c 1 c c c c ( c 1 O ) O C
54,CCC#C,-0.16,C C C # C
55,c1ccc(cc1)C(F)(F)F,-0.25,c 1 c c c ( c c 1 ) C ( F ) ( F ) F
56,NN,-9.3,N N
57,Cc1ccccn1,-4.63,C c 1 c c c c n 1
58,CCNc1nc(nc(n1)Cl)NCC,-10.22,C C N c 1 n c ( n c ( n 1 ) Cl ) N C C
59,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,c 1 c c c 2 c ( c 1 ) O c 3 c c ( c ( c c 3 O 2 ) Cl ) Cl
60,CCCCCCCCN,-3.65,C C C C C C C C N
61,N,-4.29,N
62,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,c 1 c c c ( c ( c 1 ) C ( F ) ( F ) F ) C ( F ) ( F ) F
63,COC(=O)c1ccc(cc1)O,-9.51,C O C ( = O ) c 1 c c c ( c c 1 ) O
64,CCCCCc1ccccc1,-0.23,C C C C C c 1 c c c c c 1
65,CC(F)F,-0.11,C C ( F ) F
66,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,c 1 c c c ( c c 1 ) n 2 c ( = O ) c ( c ( c n 2 ) N ) Cl
67,C=CC=C,0.56,C = C C = C
68,CN(C)C,-3.2,C N ( C ) C
69,CCCCCC(=O)N,-9.31,C C C C C C ( = O ) N
70,CC(C)CO[N+](=O)[O-],-1.88,C C ( C ) C O [ N+ ] ( = O ) [ O- ]
71,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,c 1 c c c 2 c ( c 1 ) C ( = O ) c 3 c c c c ( c 3 C 2 = O ) N C C O
72,C(CO[N+](=O)[O-])O,-8.18,C ( C O [ N+ ] ( = O ) [ O- ] ) O
73,CCCCCCC(=O)C,-2.88,C C C C C C C ( = O ) C
74,CN1CCNCC1,-7.77,C N 1 C C N C C 1
75,CCN,-4.5,C C N
76,C1C=CC=CC=C1,-0.99,C 1 C = C C = C C = C 1
77,c1ccc2c(c1)Cc3ccccc3C2,-3.78,c 1 c c c 2 c ( c 1 ) C c 3 c c c c c 3 C 2
78,CC(Cl)Cl,-0.84,C C ( Cl ) Cl
79,COc1cccc(c1)O,-7.66,C O c 1 c c c c ( c 1 ) O
80,c1cc2cccc3c2c(c1)CC3,-3.15,c 1 c c 2 c c c c 3 c 2 c ( c 1 ) C C 3
81,CCCCCCCCBr,0.52,C C C C C C C C Br
82,c1ccc(cc1)CO,-6.62,c 1 c c c ( c c 1 ) C O
83,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,c 1 c ( c ( = O ) [ n H ] c ( = O ) [ n H ] 1 ) Br
84,CCCC,2.1,C C C C
85,CCl,-0.55,C Cl
86,CC(C)CBr,-0.03,C C ( C ) C Br
87,CC(C)SC(C)C,-1.21,C C ( C ) S C ( C ) C
88,CCCCCCC,2.67,C C C C C C C
89,c1cnc[nH]1,-9.63,c 1 c n c [ n H ] 1
90,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84,c 1 c c 2 c ( c c 1 Cl ) O c 3 c c ( c ( c ( c 3 O 2 ) Cl ) Cl ) Cl
91,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,C C [ C @ H ] ( C ) n 1 c ( = O ) c ( c ( [ n H ] c 1 = O ) C ) Br
92,C(I)I,-2.49,C ( I ) I
93,CCCN(CCC)C(=O)SCCC,-4.13,C C C N ( C C C ) C ( = O ) S C C C
94,C[N+](=O)[O-],-4.02,C [ N+ ] ( = O ) [ O- ]
95,CCOC,-2.1,C C O C
96,COC(CCl)(OC)OC,-4.59,C O C ( C Cl ) ( O C ) O C
97,CC(C)C,2.3,C C ( C ) C
98,CC(C)CC(=O)O,-6.09,C C ( C ) C C ( = O ) O
99,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,C C O P ( = O ) ( O C C ) O / C ( = C / Cl ) / c 1 c c c ( c c 1 Cl ) Cl
100,CCCCl,-0.33,C C C Cl
101,CCCSCCC,-1.28,C C C S C C C
102,CCC[C@H](CC)O,-4.06,C C C [ C @ H ] ( C C ) O
103,CC#N,-3.88,C C # N
104,CN(CC(F)(F)F)c1ccccc1,-1.92,C N ( C C ( F ) ( F ) F ) c 1 c c c c c 1
105,[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,[ C @ @ H ] ( C ( F ) ( F ) F ) ( O C ( F ) F ) Cl
106,C=CCCC=C,1.01,C = C C C C = C
107,Cc1cccc(c1)C,-0.83,C c 1 c c c c ( c 1 ) C
108,CC(=O)OC,-3.13,C C ( = O ) O C
109,COC(c1ccccc1)(OC)OC,-4.04,C O C ( c 1 c c c c c 1 ) ( O C ) O C
110,CCOC(=O)c1ccccc1,-3.64,C C O C ( = O ) c 1 c c c c c 1
111,CCCS,-1.1,C C C S
112,CCCCCC(=O)C,-3.04,C C C C C C ( = O ) C
113,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,C C 1 ( C c 2 c c c c ( c 2 O 1 ) O C ( = O ) N C ) C
114,c1ccc(cc1)CBr,-2.38,c 1 c c c ( c c 1 ) C Br
115,CCCCCC(=O)OCC,-2.23,C C C C C C ( = O ) O C C
116,CCCOC,-1.66,C C C O C
117,CN1CCOCC1,-6.32,C N 1 C C O C C 1
118,c1cc(cc(c1)O)C#N,-9.65,c 1 c c ( c c ( c 1 ) O ) C # N
119,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,c 1 c c ( c ( c c 1 c 2 c ( c ( c c ( c 2 Cl ) Cl ) Cl ) Cl ) Cl ) Cl
120,CCCc1ccccc1,-0.53,C C C c 1 c c c c c 1
121,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,C n 1 c n c 2 c 1 c ( = O ) n ( c ( = O ) n 2 C ) C
122,CNC,-4.29,C N C
123,C(=C(F)F)(C(F)(F)F)F,2.93,C ( = C ( F ) F ) ( C ( F ) ( F ) F ) F
124,c1cc(ccc1O)Cl,-7.03,c 1 c c ( c c c 1 O ) Cl
125,C1CCNCC1,-5.11,C 1 C C N C C 1
126,c1ccc2c(c1)ccc3c2cccc3,-3.88,c 1 c c c 2 c ( c 1 ) c c c 3 c 2 c c c c 3
127,CI,-0.89,C I
128,COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,C O c 1 c ( c c ( c ( c 1 O ) O C ) Cl ) Cl
129,C(=C/Cl)\Cl,-0.78,C ( = C / Cl ) \ Cl
130,CCCCC,2.3,C C C C C
131,CCCC#N,-3.64,C C C C # N
132,[C@@H](C(F)(F)F)(F)Br,0.5,[ C @ @ H ] ( C ( F ) ( F ) F ) ( F ) Br
133,CC(C)Cc1cnccn1,-5.04,C C ( C ) C c 1 c n c c n 1
134,CC[C@H](C)O[N+](=O)[O-],-1.82,C C [ C @ H ] ( C ) O [ N+ ] ( = O ) [ O- ]
135,c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,c 1 c c c ( c c 1 ) c 2 c c ( c c c 2 Cl ) Cl
136,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,c 1 c c c ( c c 1 ) c 2 c c ( c ( c ( c 2 Cl ) Cl ) Cl ) Cl
137,CC[C@@H](C)C(C)C,2.52,C C [ C @ @ H ] ( C ) C ( C ) C
138,C[C@H](CC(C)C)O,-3.73,C [ C @ H ] ( C C ( C ) C ) O
139,C1CCOCC1,-3.12,C 1 C C O C C 1
140,C1CC1,0.75,C 1 C C 1
141,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,c 1 c ( c c ( c ( c 1 Cl ) Cl ) Cl ) c 2 c c ( c ( c ( c 2 Cl ) Cl ) Cl ) Cl
142,C=C(Cl)Cl,0.25,C = C ( Cl ) Cl
143,CC(C)CO,-4.5,C C ( C ) C O
144,CCCOC(=O)CC,-2.44,C C C O C ( = O ) C C
145,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,C ( C ( Cl ) ( Cl ) Cl ) ( Cl ) ( Cl ) Cl
146,CSc1ccccc1,-2.73,C S c 1 c c c c c 1
147,CCc1ccccc1O,-5.66,C C c 1 c c c c c 1 O
148,CC(C)(C)Cl,1.09,C C ( C ) ( C ) Cl
149,CC(=C)C=C,0.68,C C ( = C ) C = C
150,Cc1ccc(cc1)C(C)C,-0.68,C c 1 c c c ( c c 1 ) C ( C ) C
151,Cn1ccnc1,-8.41,C n 1 c c n c 1
152,C(CO)O,-9.3,C ( C O ) O
153,c1ccc(c(c1)Cl)Cl,-1.36,c 1 c c c ( c ( c 1 ) Cl ) Cl
154,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,c 1 c ( = O ) [ n H ] c ( = O ) [ n H ] c 1 Cl
155,CCCOC=O,-2.48,C C C O C = O
156,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,c 1 c c c 2 c ( c 1 ) O c 3 c c c ( c c 3 O 2 ) Cl
157,CCCCCC(=O)O,-6.21,C C C C C C ( = O ) O
158,CCOC(=O)CCC(=O)OCC,-5.71,C C O C ( = O ) C C C ( = O ) O C C
159,Cc1ccnc(c1)C,-4.86,C c 1 c c n c ( c 1 ) C
160,C1CCC=CC1,0.14,C 1 C C C = C C 1
161,CN1CCN(CC1)C,-7.58,C N 1 C C N ( C C 1 ) C
162,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,c 1 c c ( c ( c c 1 c 2 c c ( c ( c ( c 2 Cl ) Cl ) Cl ) Cl ) Cl ) Cl
163,C1=CC(=O)C=CC1=O,-6.5,C 1 = C C ( = O ) C = C C 1 = O
164,COC(=O)CCl,-4.0,C O C ( = O ) C Cl
165,CCCC=O,-3.18,C C C C = O
166,CCc1ccccc1,-0.79,C C c 1 c c c c c 1
167,C(=C(Cl)Cl)Cl,-0.44,C ( = C ( Cl ) Cl ) Cl
168,CCN(CC)CC,-3.22,C C N ( C C ) C C
169,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,c 1 c c 2 c ( c c 1 Cl ) O c 3 c ( c ( c ( c ( c 3 Cl ) Cl ) Cl ) Cl ) O 2
170,Cc1ccncc1C,-5.22,C c 1 c c n c c 1 C
171,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,c 1 ( = O ) [ n H ] c ( = O ) [ n H ] c ( = O ) [ n H ] 1
172,c1ccc(cc1)C=O,-4.02,c 1 c c c ( c c 1 ) C = O
173,c1ccnc(c1)Cl,-4.39,c 1 c c n c ( c 1 ) Cl
174,C=CCCl,-0.57,C = C C Cl
175,Cc1ccc(cc1)C(=O)C,-4.7,C c 1 c c c ( c c 1 ) C ( = O ) C
176,C=O,-2.75,C = O
177,Cc1ccccc1Cl,-1.14,C c 1 c c c c c 1 Cl
178,CC(=O)N1CCCC1,-9.8,C C ( = O ) N 1 C C C C 1
179,CC(OC)(OC)OC,-4.42,C C ( O C ) ( O C ) O C
180,CCCCc1ccccc1,-0.4,C C C C c 1 c c c c c 1
181,CN(C)c1ccccc1,-3.45,C N ( C ) c 1 c c c c c 1
182,CC(C)OC,-2.01,C C ( C ) O C
183,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,c 1 2 c ( c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl ) O c 3 c ( c ( c ( c ( c 3 Cl ) Cl ) Cl ) Cl ) O 2
184,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,c 1 ( c ( c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl ) Cl ) c 2 c ( c ( c ( c ( c 2 Cl ) Cl ) Cl ) Cl ) Cl
185,C(C(Cl)Cl)Cl,-1.99,C ( C ( Cl ) Cl ) Cl
186,CNc1ccccc1,-4.69,C N c 1 c c c c c 1
187,CC(C)OC(=O)C,-2.64,C C ( C ) O C ( = O ) C
188,c1ccccc1,-0.9,c 1 c c c c c 1
189,c1cc(c(c(c1)Cl)Cl)Cl,-1.24,c 1 c c ( c ( c ( c 1 ) Cl ) Cl ) Cl
190,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,C C O P ( = S ) ( O C C ) S C S c 1 c c c ( c c 1 ) Cl
191,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,C O P ( = S ) ( O C ) S C n 1 c ( = O ) c 2 c c c c c 2 n n 1
192,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,c 1 c c c 2 c ( c 1 ) O c 3 c ( c c ( c ( c 3 O 2 ) Cl ) Cl ) Cl
193,CC(=C)C(=C)C,0.4,C C ( = C ) C ( = C ) C
194,CCCCC=C,1.58,C C C C C = C
195,S,-0.7,S
196,CCOCC,-1.59,C C O C C
197,CCNc1nc(nc(n1)SC)NC(C)C,-7.65,C C N c 1 n c ( n c ( n 1 ) S C ) N C ( C ) C
198,CCCCOC(=O)c1ccc(cc1)O,-8.72,C C C C O C ( = O ) c 1 c c c ( c c 1 ) O
199,CCCCCCOC(=O)C,-2.26,C C C C C C O C ( = O ) C
200,C1CCC(=O)C1,-4.7,C 1 C C C ( = O ) C 1
201,CCCCC(=O)O,-6.16,C C C C C ( = O ) O
202,CCBr,-0.74,C C Br
203,Cc1ccc2cc(ccc2c1)C,-2.63,C c 1 c c c 2 c c ( c c c 2 c 1 ) C
204,CCCCCCO,-4.4,C C C C C C O
205,c1ccc(cc1)c2ccccc2Cl,-2.69,c 1 c c c ( c c 1 ) c 2 c c c c c 2 Cl
206,CC1=CCCCC1,0.67,C C 1 = C C C C C 1
207,CCCCCCO[N+](=O)[O-],-1.66,C C C C C C O [ N+ ] ( = O ) [ O- ]
208,C(Br)(Br)Br,-2.13,C ( Br ) ( Br ) Br
209,CCc1ccc(cc1)O,-6.13,C C c 1 c c c ( c c 1 ) O
210,CCCOCCO,-6.4,C C C O C C O
211,c1ccc(cc1)OC=O,-3.82,c 1 c c c ( c c 1 ) O C = O
212,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,c 1 c ( c ( = O ) [ n H ] c ( = O ) [ n H ] 1 ) I
213,CCCC(=O)O,-6.35,C C C C ( = O ) O
214,COC(C(F)(F)F)(OC)OC,-0.8,C O C ( C ( F ) ( F ) F ) ( O C ) O C
215,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,C 1 [ C @ H ] ( [ C @ @ H ] ( [ C @ H ] ( [ C @ H ] ( O 1 ) O ) O ) O ) O
216,C(F)(F)(F)Br,1.79,C ( F ) ( F ) ( F ) Br
217,CCCCO,-4.72,C C C C O
218,c1ccc(cc1)F,-0.8,c 1 c c c ( c c 1 ) F
219,CCOC(=O)C,-2.94,C C O C ( = O ) C
220,CC(C)COC(=O)C(C)C,-1.69,C C ( C ) C O C ( = O ) C ( C ) C
221,CC(C)(C)OC,-2.21,C C ( C ) ( C ) O C
222,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55,C 1 = C [ C @ @ H ] ( [ C @ @ H ] 2 [ C @ H ] 1 [ C @ @ ] 3 ( C ( = C ( [ C @ ] 2 ( C 3 ( Cl ) Cl ) Cl ) Cl ) Cl ) Cl ) Cl
223,CCC(=O)CC,-3.41,C C C ( = O ) C C
224,COC(=O)C(F)(F)F,-1.1,C O C ( = O ) C ( F ) ( F ) F
225,c1ccc2ccccc2c1,-2.4,c 1 c c c 2 c c c c c 2 c 1
226,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,c 1 c c ( c ( c ( c 1 c 2 c c ( c ( c ( c 2 Cl ) Cl ) Cl ) Cl ) Cl ) Cl ) Cl
227,CC(=O)Oc1ccccc1C(=O)O,-9.94,C C ( = O ) O c 1 c c c c c 1 C ( = O ) O
228,CC(=O)C(C)(C)C,-3.11,C C ( = O ) C ( C ) ( C ) C
229,COS(=O)(=O)C,-4.87,C O S ( = O ) ( = O ) C
230,CCc1ccncc1,-4.73,C C c 1 c c n c c 1
231,CC(C)NC(C)C,-3.22,C C ( C ) N C ( C ) C
232,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,c 1 c c 2 c ( c c 1 Cl ) O c 3 c c c ( c c 3 O 2 ) Cl
233,CCCCCCCN,-3.79,C C C C C C C N
234,CC1CCCC1,1.59,C C 1 C C C C 1
235,CCC,2.0,C C C
236,C[C@H]1CCCO1,-3.3,C [ C @ H ] 1 C C C O 1
237,CNC(=O)Oc1cccc2c1cccc2,-9.45,C N C ( = O ) O c 1 c c c c 2 c 1 c c c c 2
238,c1cc(cc(c1)O)C=O,-9.52,c 1 c c ( c c ( c 1 ) O ) C = O
239,c1ccc2cc3ccccc3cc2c1,-3.95,c 1 c c c 2 c c 3 c c c c c 3 c c 2 c 1
240,C(Cl)Cl,-1.31,C ( Cl ) Cl
241,CC(C)(C)C(=O)OC,-2.4,C C ( C ) ( C ) C ( = O ) O C
242,C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45,C ( [ N+ ] ( = O ) [ O- ] ) ( Cl ) ( Cl ) Cl
243,C1CC[S+2](C1)([O-])[O-],-8.61,C 1 C C [ S + 2 ] ( C 1 ) ( [ O- ] ) [ O- ]
244,Cc1cccc(c1O)C,-5.26,C c 1 c c c c ( c 1 O ) C
245,Cc1cccc(c1)O,-5.49,C c 1 c c c c ( c 1 ) O
246,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,c 1 c c c 2 c ( c 1 ) C ( = O ) c 3 c ( c c c ( c 3 C 2 = O ) O ) N
247,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,c 1 c c c 2 c ( c 1 ) C ( = O ) c 3 c ( c c c ( c 3 C 2 = O ) N ) N
248,CCCCCCCC(=O)C,-2.49,C C C C C C C C ( = O ) C
249,CCCCN,-4.24,C C C C N
250,CCCC(=O)OCC,-2.49,C C C C ( = O ) O C C
251,Cc1ccc(cc1)N,-5.57,C c 1 c c c ( c c 1 ) N
252,CCCCCCI,0.08,C C C C C C I
253,C(C(F)(Cl)Cl)(F)(F)Cl,1.77,C ( C ( F ) ( Cl ) Cl ) ( F ) ( F ) Cl
254,COP(=O)(OC)OC,-8.7,C O P ( = O ) ( O C ) O C
255,c1cc(cc(c1)Cl)Cl,-0.98,c 1 c c ( c c ( c 1 ) Cl ) Cl
256,Cc1cc(c2ccccc2c1)C,-2.47,C c 1 c c ( c 2 c c c c c 2 c 1 ) C
257,CCCC(C)C,2.51,C C C C ( C ) C
258,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,C C O P ( = S ) ( O C C ) O c 1 c ( c c ( c ( n 1 ) Cl ) Cl ) Cl
259,C(C(F)(F)F)Cl,0.06,C ( C ( F ) ( F ) F ) Cl
260,C=C,1.28,C = C
261,CCCCCI,-0.14,C C C C C I
262,COC(OC)OC,-4.42,C O C ( O C ) O C
263,CCCCCCCCCC,3.16,C C C C C C C C C C
264,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,C [ C @ @ H ] ( C O [ N+ ] ( = O ) [ O- ] ) O [ N+ ] ( = O ) [ O- ]
265,CC=C,1.32,C C = C
266,Cc1c[nH]c2c1cccc2,-5.88,C c 1 c [ n H ] c 2 c 1 c c c c 2
267,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,C O P ( = O ) ( [ C @ H ] ( C ( Cl ) ( Cl ) Cl ) O ) O C
268,C1CCCCC1,1.23,C 1 C C C C C 1
269,CC(=CCC/C(=C/CO)/C)C,-4.45,C C ( = C C C / C ( = C / C O ) / C ) C
270,CC(C)c1ccccc1,-0.3,C C ( C ) c 1 c c c c c 1
271,CC(C)C(C)C(C)C,2.56,C C ( C ) C ( C ) C ( C ) C
272,CC(C)C(=O)C,-3.24,C C ( C ) C ( = O ) C
273,CCCCNCCCC,-3.24,C C C C N C C C C
274,CCCCS,-0.99,C C C C S
275,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,c 1 c c c 2 c ( c 1 ) O c 3 c ( c ( c ( c ( c 3 Cl ) Cl ) Cl ) Cl ) O 2
276,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,C O c 1 c ( c ( c ( c ( c 1 Cl ) C = O ) Cl ) O C ) O
277,C1CCC(CC1)N,-4.59,C 1 C C C ( C C 1 ) N
278,C(F)(F)Cl,-0.5,C ( F ) ( F ) Cl
279,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,C O C ( = O ) c 1 c c c ( c c 1 ) [ N+ ] ( = O ) [ O- ]
280,CC(=O)c1cccnc1,-8.26,C C ( = O ) c 1 c c c n c 1
281,CC#C,-0.48,C C # C
282,CCCCCCCCC=O,-2.07,C C C C C C C C C = O
283,CCC(=O)O,-6.46,C C C ( = O ) O
284,C(Cl)(Cl)Cl,-1.08,C ( Cl ) ( Cl ) Cl
285,Cc1cccc(c1C)C,-1.21,C c 1 c c c c ( c 1 C ) C
286,C,2.0,C
287,c1ccc(cc1)CCl,-1.93,c 1 c c c ( c c 1 ) C Cl
288,CC1CCCCC1,1.7,C C 1 C C C C C 1
289,Cc1cccs1,-1.38,C c 1 c c c s 1
290,c1ccncc1,-4.69,c 1 c c n c c 1
291,CCCCCl,-0.16,C C C C Cl
292,C[C@H]1CC[C@@H](O1)C,-2.92,C [ C @ H ] 1 C C [ C @ @ H ] ( O 1 ) C
293,Cc1ccc(c(c1)OC)O,-5.8,C c 1 c c c ( c ( c 1 ) O C ) O
294,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,C 1 [ C @ H ] ( [ C @ @ H ] 2 [ C @ H ] ( [ C @ H ] 1 Cl ) [ C @ ] 3 ( C ( = C ( [ C @ @ ] 2 ( C 3 ( Cl ) Cl ) Cl ) Cl ) Cl ) Cl ) Cl
295,Cc1ccccc1,-0.9,C c 1 c c c c c 1
296,CC(C)COC=O,-2.22,C C ( C ) C O C = O
297,CCOC(=O)c1ccc(cc1)O,-9.2,C C O C ( = O ) c 1 c c c ( c c 1 ) O
298,CCOCCOCC,-3.54,C C O C C O C C
299,CCCCCOC(=O)CC,-2.11,C C C C C O C ( = O ) C C
300,CCCc1ccc(cc1)O,-5.21,C C C c 1 c c c ( c c 1 ) O
301,CC=C(C)C,1.31,C C = C ( C ) C
302,C(CCl)Cl,-1.79,C ( C Cl ) Cl
303,CCC(C)(C)CC,2.56,C C C ( C ) ( C ) C C
304,Cc1cc2ccccc2cc1C,-2.78,C c 1 c c 2 c c c c c 2 c c 1 C
305,Cc1cccc(n1)C,-4.59,C c 1 c c c c ( n 1 ) C
306,COC(C(Cl)Cl)(F)F,-1.12,C O C ( C ( Cl ) Cl ) ( F ) F
307,CCOCCOC(=O)C,-5.31,C C O C C O C ( = O ) C
308,COc1cccc(c1)N,-7.29,C O c 1 c c c c ( c 1 ) N
309,c1cc(cnc1)C=O,-7.1,c 1 c c ( c n c 1 ) C = O
